Denumire,Timp,Info,Latitude,Longitude,Status,Tip vehicul,Sens
Albița,100,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.20Moldova.,46.78513359,28.138904570000022,red,Camioane,Ieșire
Galați,50,Controlul de frontiera se desfasoara pe sensul de intrare in Romania in mod coordonat cu autoritatile de frontiera ale R.Moldova.,45.46825360262536,28.188611261901883,orange,Camioane,Ieșire
Halmeu,20,Intrare: 1 artera; Iesire 1 artera.,47.99218343807866,23.003118041472135,green,Camioane,Ieșire
Isaccea,30,"Intrare 1 artera, iesire 1 artera - Trafic intens - numar foarte mare de mijloace de transport prezente la controlul de frontiera.",45.2838718,28.453399,orange,Camioane,Ieșire
Jimbolia,10,,45.75220459046048,20.70119261476202,green,Camioane,Ieșire
Moravița,10,,45.23273831114173,21.271795037033144,green,Camioane,Ieșire
Naidăș,10,,44.90138869420463,21.562149521188644,green,Camioane,Ieșire
Oancea,20,,45.91761677,28.11879872999998,green,Camioane,Ieșire
Porțile de Fier I,10,Prezentarea unui numar mare de automarfare intr un timp timp foarte scurt,44.67547766480826,22.53279268346705,green,Camioane,Ieșire
Sculeni,60,,47.31616400549972,27.610375267906193,red,Camioane,Ieșire
Siret,20,Intrare: 1 artera; Ieșire 2 artere,47.98636006999999,26.062595845606666,green,Camioane,Ieșire
Stînca,20,,47.833497321297024,27.22010850534423,green,Camioane,Ieșire
